tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
mpio,15223,1.7,1,0,0,0,0,0
mpio,15224,1.6,1,0,0,0,1,0
mpio,15226,1.6,1,0,0,0,0,0
mpio,15232,1.6,1,0,0,0,1,0
mpio,15236,1.6,1,0,0,0,1,0
mpio,15238,1.6,1,0,0,0,0,0
mpio,15244,1.6,1,0,0,0,0,0
mpio,15248,1.6,1,0,0,0,0,0
mpio,15272,1.6,1,0,0,0,0,0
mpio,15276,1.6,1,0,0,0,0,0
mpio,15293,1.6,1,0,0,0,1,0
mpio,15296,1.6,1,0,0,0,1,0
mpio,15299,1.6,1,0,0,0,0,0
mpio,15317,1.6,1,0,0,0,1,0
mpio,15322,1.6,1,0,0,0,0,0
mpio,15325,1.6,1,0,0,0,0,0
mpio,15332,1.6,1,0,0,0,0,0
mpio,15362,1.6,1,0,0,0,0,0
mpio,15367,1.6,1,0,0,0,1,0
mpio,15368,1.6,1,0,0,0,1,0
mpio,15377,1.6,1,0,0,0,0,0
mpio,15380,1.6,1,0,0,0,1,0
mpio,15401,1.6,1,0,0,0,1,0
mpio,15403,1.6,1,0,0,0,1,0
mpio,15407,1.6,1,0,0,0,0,0
mpio,15425,1.6,1,0,0,0,0,0
mpio,15442,1.6,1,0,0,0,0,0
mpio,15455,1.6,1,0,0,0,0,0
mpio,15464,1.6,1,0,0,0,1,0
mpio,15466,1.6,1,0,0,0,1,0
mpio,15469,1.6,1,0,0,0,0,0
mpio,15476,1.6,1,0,0,0,1,0
mpio,15480,1.6,1,0,0,0,0,0
mpio,15491,1.6,1,0,0,0,1,0
mpio,15494,1.6,1,0,0,0,1,0
mpio,15500,1.6,1,0,0,0,1,0
mpio,15507,1.6,1,0,0,0,0,0
mpio,15511,1.6,1,0,0,0,1,0
mpio,15514,1.6,1,0,0,0,1,0
mpio,15516,1.6,1,0,0,0,0,0
mpio,15518,1.6,1,0,0,0,1,0
mpio,15522,1.6,1,0,0,0,0,0
mpio,15531,1.6,1,0,0,0,0,0
mpio,15533,1.6,1,0,0,0,1,0
mpio,15537,1.6,1,0,0,0,1,0
mpio,15542,1.6,1,0,0,0,1,0
mpio,15550,1.6,1,0,0,0,1,0
mpio,15572,1.6,1,0,0,0,0,0
mpio,15580,1.6,1,0,0,0,0,0
mpio,15599,1.6,1,0,0,0,1,0
mpio,15600,1.6,1,0,0,0,0,0
mpio,15621,1.6,1,0,0,0,1,0
mpio,15632,1.6,1,0,0,0,0,0
mpio,15638,1.6,1,0,0,0,0,0
mpio,15646,1.6,1,0,0,0,0,0
mpio,15660,1.6,1,0,0,0,1,0
mpio,15664,1.6,1,0,0,0,1,0
mpio,15667,1.6,1,0,0,0,0,0
mpio,15673,1.6,1,0,0,0,1,0
mpio,15676,1.6,1,0,0,0,1,0
mpio,15681,1.6,1,0,0,0,0,0
mpio,15686,1.6,1,0,0,0,0,0
mpio,15690,1.6,1,0,0,0,1,0
mpio,15693,1.6,1,0,0,0,0,0
mpio,15696,1.6,1,0,0,0,0,0
mpio,15720,1.6,1,0,0,0,0,0
mpio,15723,1.6,1,0,0,0,1,0
mpio,15740,1.6,1,0,0,0,1,0
mpio,15753,1.6,1,0,0,0,0,0
mpio,15755,1.6,1,0,0,0,1,0
mpio,15757,1.6,1,0,0,0,0,0
mpio,15759,1.6,1,0,0,0,0,0
mpio,15761,1.6,1,0,0,0,1,0
mpio,15762,1.6,1,0,0,0,1,0
mpio,15763,1.6,1,0,0,0,1,0
mpio,15764,1.6,1,0,0,0,0,0
mpio,15774,1.6,1,0,0,0,1,0
mpio,15776,1.6,1,0,0,0,0,0
mpio,15778,1.6,1,0,0,0,0,0
mpio,15790,1.6,1,0,0,0,0,0
mpio,15798,1.6,1,0,0,0,0,0
mpio,15804,1.6,1,0,0,0,0,0
mpio,15806,1.6,1,0,0,0,0,0
